Uuid,Fully specified name:en,Short name:en,Void/Retire,Description:en,Data class,Data type,Members,Answers,_version:1,_order:920
efb709f0-4e14-11e4-8a57-0800271c1b75,Acute nasopharyngitis,,,,Diagnosis,N/A,,,,
efb8fbfe-4e14-11e4-8a57-0800271c1b75,Pelvic congestion syndrome,,,,Diagnosis,N/A,,,,
efbc8206-4e14-11e4-8a57-0800271c1b75,Bronchitis,,,,Diagnosis,N/A,,,,
efbf9d90-4e14-11e4-8a57-0800271c1b75,Submucous leiomyoma of uterus,,,,Diagnosis,N/A,,,,
efc3a75c-4e14-11e4-8a57-0800271c1b75,Gangrene,,,,Diagnosis,N/A,,,,
efc6d143-4e14-11e4-8a57-0800271c1b75,Dermatophytosis,,,,Diagnosis,N/A,,,,
efca07ce-4e14-11e4-8a57-0800271c1b75,Premature ejaculation,,,,Diagnosis,N/A,,,,
efcbd325-4e14-11e4-8a57-0800271c1b75,Thyroid dysfunction,,,,Diagnosis,N/A,,,,
efcef7b1-4e14-11e4-8a57-0800271c1b75,Swelling of limb,,,,Diagnosis,N/A,,,,
efd2679c-4e14-11e4-8a57-0800271c1b75,Measles,,,,Diagnosis,N/A,,,,
efd422cd-4e14-11e4-8a57-0800271c1b75,Mycoses of the body,,,,Diagnosis,N/A,,,,
efdab612-4e14-11e4-8a57-0800271c1b75,Tinea nigra,,,,Diagnosis,N/A,,,,
efdcfec8-4e14-11e4-8a57-0800271c1b75,Streptococcal meningitis,,,,Diagnosis,N/A,,,,
efe03f8b-4e14-11e4-8a57-0800271c1b75,Benign intracranial hypertension,,,,Diagnosis,N/A,,,,
efe3d601-4e14-11e4-8a57-0800271c1b75,Cardiomyopathy,,,,Diagnosis,N/A,,,,
efea7f2d-4e14-11e4-8a57-0800271c1b75,Acute sinusitis,,,,Diagnosis,N/A,,,,
efee2483-4e14-11e4-8a57-0800271c1b75,Endometriosis,,,,Diagnosis,N/A,,,,
eff028ad-4e14-11e4-8a57-0800271c1b75,"Abortion with unspecified complication, incomplete",,,,Diagnosis,N/A,,,,
eff42213-4e14-11e4-8a57-0800271c1b75,Synovial cyst of popliteal space,,,,Diagnosis,N/A,,,,
eff8777b-4e14-11e4-8a57-0800271c1b75,Supervision of normal first pregnancy,,,,Diagnosis,N/A,,,,
effc05ba-4e14-11e4-8a57-0800271c1b75,Hydrocele,,,,Diagnosis,N/A,,,,
efff2a60-4e14-11e4-8a57-0800271c1b75,Anal fissure and fistula,,,,Diagnosis,N/A,,,,
f0015430-4e14-11e4-8a57-0800271c1b75,Hypoparathyroidism,,,,Diagnosis,N/A,,,,
f0040ec7-4e14-11e4-8a57-0800271c1b75,"Mycoses, Of scalp and beard",,,,Diagnosis,N/A,,,,
f007aa45-4e14-11e4-8a57-0800271c1b75,Rheumatoid arthritis,,,,Diagnosis,N/A,,,,
f00b313f-4e14-11e4-8a57-0800271c1b75,Eosinophilia,,,,Diagnosis,N/A,,,,
f00d97ff-4e14-11e4-8a57-0800271c1b75,Hemorrhoids,,,,Diagnosis,N/A,,,,
f00f73de-4e14-11e4-8a57-0800271c1b75,Uterine prolapse without mention of vaginal wall prolapse,,,,Diagnosis,N/A,,,,
f01840c1-4e14-11e4-8a57-0800271c1b75,Calculus of ureter,,,,Diagnosis,N/A,,,,
f01b758e-4e14-11e4-8a57-0800271c1b75,Nephrotic syndrome,,,,Diagnosis,N/A,,,,
f01d3dde-4e14-11e4-8a57-0800271c1b75,Female Infertility,,,,Diagnosis,N/A,,,,
f01fd127-4e14-11e4-8a57-0800271c1b75,"Nutritional Deficiency,  Other protein",,,,Diagnosis,N/A,,,,
f048e9b5-4e14-11e4-8a57-0800271c1b75,Orchitis,,,,Diagnosis,N/A,,,,
f04b3016-4e14-11e4-8a57-0800271c1b75,Hypospadias,,,,Diagnosis,N/A,,,,
f0874c4f-4e14-11e4-8a57-0800271c1b75,Sciatia,,,,Diagnosis,N/A,,,,
f089550b-4e14-11e4-8a57-0800271c1b75,Cleft lip,,,,Diagnosis,N/A,,,,
f08d86d6-4e14-11e4-8a57-0800271c1b75,Infectious diarrhea,,,,Diagnosis,N/A,,,,
f08f9cdf-4e14-11e4-8a57-0800271c1b75,Dog bite,,,,Diagnosis,N/A,,,,
f092493a-4e14-11e4-8a57-0800271c1b75,Vitamin A deficiency,,,,Diagnosis,N/A,,,,
f094c120-4e14-11e4-8a57-0800271c1b75,Urticaria,,,,Diagnosis,N/A,,,,
f0d261d5-4e14-11e4-8a57-0800271c1b75,Parkinson,,,,Diagnosis,N/A,,,,
f0d5275d-4e14-11e4-8a57-0800271c1b75,Vitiligo,,,,Diagnosis,N/A,,,,
f0ded4f0-4e14-11e4-8a57-0800271c1b75,Oral aphthae,,,,Diagnosis,N/A,,,,
f0e09971-4e14-11e4-8a57-0800271c1b75,Keloid scar,,,,Diagnosis,N/A,,,,
f11ef771-4e14-11e4-8a57-0800271c1b75,Portal hypertension,,,,Diagnosis,N/A,,,,
f1211b8d-4e14-11e4-8a57-0800271c1b75,Stricture or kinking of ureter,,,,Diagnosis,N/A,,,,
f125b6cc-4e14-11e4-8a57-0800271c1b75,Allergic rhinitis,,,,Diagnosis,N/A,,,,
f129df86-4e14-11e4-8a57-0800271c1b75,Cholera,,,,Diagnosis,N/A,,,,
f12b766e-4e14-11e4-8a57-0800271c1b75,"Neoplasm, Stomach",,,,Diagnosis,N/A,,,,
f16b13fd-4e14-11e4-8a57-0800271c1b75,Calculus of kidney and ureter,,,,Diagnosis,N/A,,,,
f16f3a58-4e14-11e4-8a57-0800271c1b75,Angina Pectoris,,,,Diagnosis,N/A,,,,
f171e8dc-4e14-11e4-8a57-0800271c1b75,Atopic dermatitis and related conditions,,,,Diagnosis,N/A,,,,
f1753c8f-4e14-11e4-8a57-0800271c1b75,Ankylosing spondylitis,,,,Diagnosis,N/A,,,,
f17c254b-4e14-11e4-8a57-0800271c1b75,Hirschsprung,,,,Diagnosis,N/A,,,,
f1b8dec0-4e14-11e4-8a57-0800271c1b75,Eczema herpeticum,,,,Diagnosis,N/A,,,,
f1bbf80c-4e14-11e4-8a57-0800271c1b75,Renal failure,,,,Diagnosis,N/A,,,,
