Uuid,Fully specified name:en,Short name:en,Void/Retire,Description:en,Data class,Data type,Members,Answers,_version:1,_order:920
cefb1c9f-48a6-4790-8ea6-549d92c9a441,Poliomyelitis(AFP),,,,Diagnosis,N/A,,,,
564bf1cb-51ca-4050-9575-f6b80efc309a,Amoebasis,,,,Diagnosis,N/A,,,,
a555117b-c1cb-4c1e-b592-7e70966874f4,Viral Haemrhage Fever,,,,Diagnosis,N/A,,,,
1a72cd2f-6149-48b2-a822-b9d80a8f7342,Leishmaniasis(Kalaazar),,,,Diagnosis,N/A,,,,
4d5e46ad-9344-4af9-849e-cb9ac884abb9,Lower respiratory Tract Infections,,,,Diagnosis,N/A,,,,
53b9f3a5-bda8-47cd-88d5-38045c43754f,Physical disability,,,,Diagnosis,N/A,,,,
58870d13-82a0-4344-8f80-0c4bd8109583,Chikungunya,,,,Diagnosis,N/A,,,,
da789f32-ceae-4325-bba7-5b61f11933bf,Dengue Fever,,,,Diagnosis,N/A,,,,
0507a679-c9ac-42e0-9932-3bfa21f59a4e,Cutaneous Leishmaniasis,,,,Diagnosis,N/A,,,,
564695e7-7b09-41ef-a5d9-cd6843ecfddc,Rift Valley Fever,,,,Diagnosis,N/A,,,,
7c4cacdb-6d71-4c9d-916f-8799ea148b78,Anthrax,,,,Diagnosis,N/A,,,,
3e7b1f9f-005d-4e0f-ace4-b63c72b9178e,Diarrhea with no dehydration,,,,Diagnosis,N/A,,,,
480605d0-b31c-42b1-829f-7d6626eaf521,Diarrhea with some dehydration,,,,Diagnosis,N/A,,,,
8884ef7d-3c3c-47eb-8ce8-3fa7fbd0aeec,Diarrhea with severe dehydration,,,,Diagnosis,N/A,,,,
28ff038f-ddab-4eaf-9e53-36fd7fa75901,Severe pneumonia,,,,Diagnosis,N/A,,,,
0094b1a5-2057-4fca-8c08-99e71e988e8d,Presumed Tuberculosis,,,,Diagnosis,N/A,,,,
bba0e411-a2bb-4be3-8712-f0b38d589945,Suspected Malaria,,,,Diagnosis,N/A,,,,
74f0d6f6-b68b-402b-9615-103684c90f06,Tested for Malaria,,,,Diagnosis,N/A,,,,
e337000e-4e14-11e4-8a57-0800271c1b75,Meningococal Menengitis,,,,Diagnosis,N/A,,,,
aaed3c55-48c5-46b7-873c-62647bfbd9e7,Other Menengitis,,,,Diagnosis,N/A,,,,
53024843-718a-4620-9a0a-bfdfa1d21ddb,Dental Disorders,,,,Diagnosis,N/A,,,,
4438ed06-3973-43fb-b8f3-70c41fd7c7b0,Jiggers Infestation,,,,Diagnosis,N/A,,,,
f52534a9-08c1-4c5c-8dea-5067dcc29b74,Down's Syndrome,,,,Diagnosis,N/A,,,,
b03bc618-f2da-4569-9859-4a67b456eb60,Poisoning,,,,Diagnosis,N/A,,,,
49c17c49-ff6e-4e78-abb1-c5907a5a460a,Road Traffic Injuries,,,,Diagnosis,N/A,,,,
c648514e-3af7-42e6-8d11-bb705bd0722d,Deaths due to road traffic injuries,,,,Diagnosis,N/A,,,,
d1e49080-3f13-4538-87ec-b50870890a78,Violence Related Injuries,,,,Diagnosis,N/A,,,,
7d03e5e2-bbfc-4bdc-84c2-4867abb3ce29,Sexual Violence,,,,Diagnosis,N/A,,,,
03f23651-797d-460f-a8b0-926d8b383183,Other Convulsive Disorders,,,,Diagnosis,N/A,,,,
f7f69a8d-7043-46e3-a244-410e9ca22cca,Rheumatic Fever,,,,Diagnosis,N/A,,,,
27437520-d421-4472-b048-2c70525547ea,Rickets,,,,Diagnosis,N/A,,,,
61f7ec7e-64de-4b01-96af-de6a2d8a0e2a,Cerebral Palsy,,,,Diagnosis,N/A,,,,
06a3072b-6295-4786-9b2f-9b5f215ef19a,Autism,,,,Diagnosis,N/A,,,,
7d0962a8-9587-4755-bc8a-f686209e9278,Suspected Anthrax,,,,Diagnosis,N/A,,,,
dc031123-fdba-43cc-a7b0-cb6c2cd3a4c1,Suspected Childhood Cancers,,,,Diagnosis,N/A,,,,
9dbd83df-ae04-40ff-8b7a-2816f75f3d74,Hypoxemia (Spo2<90%),,,,Diagnosis,N/A,,,,
bdbc6ba2-c3f3-4a25-8763-560000fe3fea,Other Bites,,,,Diagnosis,N/A,,,,
01014fa7-2262-43d4-a183-18c89008f891,Neonatal Tetenus,,,,Diagnosis,N/A,,,,
2b985aa9-92fd-4c11-a8c3-8b29309e9c25,Central Nervous SYsyem Conditions,,,,Diagnosis,N/A,,,,
1be2191d-72ad-467e-a446-64b97e4a4941,Muscular Skeleton Conditions,,,,Diagnosis,N/A,,,,
e2851310-9771-4f91-9456-d041f91088eb,Covid-19,,,,Diagnosis,N/A,,,,
f59b0d8c-5d3c-4a26-b4f6-4863b64f9465,Upper respiratory tract infections,,,,Diagnosis,N/A,,,,
11ca83c4-a2d4-47cb-ae4a-0d33f0ba5703,Asthma,,,,Diagnosis,N/A,,,,
0bff85d4-7d47-4efd-8184-bf27573a2a4a,Tonsilitis,,,,Diagnosis,N/A,,,,
