Uuid,Fully specified name:en,Short name:en,Void/Retire,Description:en,Data class,Data type,Members,Answers,_version:1,_order:920
45dd6bf6-6487-42c0-b6d2-689e8e3906eb,Bed Bath/Assisted Bath,,,,Misc,Boolean,,,,
4558f24b-f4cd-4cd1-906f-486ac3aa838d,Oral Care,,,,Misc,Boolean,,,,
4edd5aa2-0d48-4be4-a253-26309bf6e33b,Pressure Area Care,,,,Misc,Boolean,,,,
169e42cb-b907-4561-9a21-737fe7fa9c79,Breathing Adequatly,,,,Misc,Boolean,,,,
077525a9-e0b6-4730-9935-d595527c4e94,Monitor Saturation,,,,Misc,Boolean,,,,
a9b7c356-68be-4bca-bce6-e4a40a1c110c,Oxygen Accordingly,,,,Misc,Boolean,,,,
16348fbb-f1bb-4b42-b09e-d93f8670f217,Diet in place,,,,Misc,Boolean,,,,
6a1b0807-c942-476e-8264-0ba22b64c807,Oral Feeding,,,,Misc,Boolean,"","","",""
4265d377-d1ad-4a10-bf33-56f285f808d8,Nasogastric tube feediing,,,,Misc,Boolean,,,,
a60816db-64ea-42e3-958a-b343c42acc0c,Parental,,,,Misc,Boolean,,,,
2cbb3496-5522-437d-97ba-f514f2974c17,Passing Urine Adequately,,,,Misc,Boolean,,,,
2909e3ab-f1f8-4464-bd4c-0c96728cdc33,Opening Bowels Adequately,,,,Misc,Boolean,,,,
77cc5424-49b0-4e3f-8d7d-12b91e3761d3,Excessive Sweating,,,,Misc,Boolean,,,,
d8391c36-7410-4caa-a521-5cae7177a3f3,Additional Elimination Outlets,,,,Misc,Text,,,,
117f8dd8-5852-46a6-a9a8-38de6e4ec0e3,Passive Exercise Done by Nurse,,,,Misc,Boolean,,,,
96db07e8-0ab2-4ceb-a1e1-af039a8e58fb,Physiotherapy Session,,,,Misc,Boolean,,,,
de804d09-89a1-40a2-a528-fd164bdabeaa,Mobilised,,,,Misc,Boolean,,,,
c9fe1e9a-f47a-401f-ad06-26463ce60727,Nutritional Counselling,,,,Misc,Boolean,,,,
acd6c490-402d-487a-8513-1778c5fe78a7,General Counsellor Session,,,,Misc,Boolean,,,,
17a5a222-689d-4722-aa07-2a19a562e8f1,6.00 AM,,,,Misc,Text,,,,
64a3bba0-842b-4ef4-949a-e2220f57f1a6,12.00 PM,,,,Misc,Text,,,,
fc2066d4-ad92-4da6-b074-8289687c4c7b,2.00 PM,,,,Misc,Text,,,,
51ce6d47-884a-4412-b6c4-c5fd19802bec,6.00 PM,,,,Misc,Text,,,,
15015c35-e703-444f-a7e3-97af961e9f25,10.00 PM,,,,Misc,Text,,,,
34f6f84b-0410-435f-93d5-f04e22c5b49a,Glascow Coma out of 15,,,,Misc,Text,,,,
763aa1ce-ef54-4726-b4af-d4419e379431,Clean Dry Floors,,,,Misc,Boolean,,,,
e84d180b-bc0e-4cac-a839-d573d845fd9e,Mosquitpo Net Available,,,,Misc,Boolean,,,,
d3fa42bd-6383-43e4-8f49-09b7e2c17cad,Bedside Attendant,,,,Misc,Text,,,,
30d1e071-c8b9-4b9d-a882-d1d0e03cdec1,Bed rails as Necessary,,,,Misc,Boolean,,,,
94c46e01-da2e-44df-9dd4-21d0fe2fb6a2,Sanitizer in Cubicle,,,,Misc,Boolean,,,,
9d585dfd-492b-4cf9-a989-4c5d328af958,Infection Control Measures in Place,,,,Misc,Boolean,,,,
